,Cuts,Number of events,Cumulative efficiency,Efficiency
0,pretrigger,360387.20280874136,,
1,|muonId| == 13,370922.51531099185,,102.92333146686167
2,|muonEta| < 1.5,631326.3602957156,,170.20437806704558
3,muonPt > 7,195805.1429616607,,31.014884737260907
4,muonHLTReq,106942.86455907626,,54.61698448851062
5,muonQual >= 2^25,107927.57132732682,,100.92077837292884
6,muonLeadPtReq,108404.16052740812,,100.44158243738839
7,eventHLT_cut,108350.10052733123,100.0,99.95013106525259
8,llp_decayed_in_dt,63480.80930891633,58.58860213323322,58.58860213323322
9,N clusters >= 1,9308.386047795415,8.591026683401536,14.663307146098381
10,cls_llp_deltaR_cut,5250.268026918173,4.845651274309429,56.40363431383079
11,cls_trigg_muon_deltaR_cut,4434.179022654891,4.092454922583457,84.45624108942275
12,rpc_matching,4393.803022325039,4.0551905359946625,99.08943684674063
13,muon_veto,4129.043020993471,3.810834508595516,93.97424053863328
14,mb1_veto,1299.3300067037344,1.1991959401791044,31.46806657371926
15,rpc_time_cut,1272.0940065979958,1.1740589075661365,97.90384275240179
16,mb1_adjacent,1224.1370062679052,1.1297977577409977,96.23007418623537
17,cluster_size_100,412.52200224995613,0.38073061330099806,33.69900592317154
