,Cuts,Number of events,Cumulative efficiency,Efficiency
0,pretrigger,342657.3036847342,,
1,|muonId| == 13,352525.43113279855,,102.87988241953354
2,|muonEta| < 1.5,615215.7489988061,,174.51669997874578
3,muonPt > 7,210369.84018974696,,34.19448226611559
4,muonHLTReq,107579.73365671712,,51.13838255506758
5,muonQual >= 2^25,108767.92689846456,,101.10447683904752
6,muonLeadPtReq,109290.33553686738,,100.48029658493951
7,eventHLT_cut,109217.55653655529,100.0,99.93340765223698
8,llp_decayed_in_dt,63883.843315675855,58.49228397111579,58.49228397111579
9,N clusters >= 1,9128.166048288345,8.357782702484407,14.288692687417681
10,cls_llp_deltaR_cut,4988.065027445555,4.567090846585678,54.64476655067953
11,cls_trigg_muon_deltaR_cut,3925.137021422386,3.5938700204381853,78.69057439759348
12,rpc_matching,3895.350021317601,3.566596932622111,99.24112203109814
13,muon_veto,2890.6910168528557,2.646727420499777,74.20876175525505
14,mb1_veto,823.6290051937103,0.7541177731054992,28.492460812723223
15,rpc_time_cut,807.4820049852133,0.7393335198036112,98.03952992103532
16,mb1_adjacent,789.0270049124956,0.7224360532625604,97.71450014256905
17,cluster_size_100,155.95000085234642,0.14278839940916432,19.764849603549568
