,7,8,8.5,9,10,10.5,11,12,20,100
500,0.026,0.002,0.003,0.003,0.003,0.005,0.006,0.005,0.003,0.009
20,0.021,0.002,0.003,0.003,0.003,0.006,0.007,0.005,0.004,0.01
10,0.043,0.003,0.006,0.006,0.006,0.011,0.012,0.01,0.007,0.02
8,0.051,0.003,0.005,0.006,0.006,0.01,0.011,0.009,0.007,0.019
6,0.053,0.005,0.008,0.009,0.008,0.015,0.015,0.013,0.009,0.025
5,0.166,0.005,0.008,0.008,0.008,0.013,0.014,0.012,0.008,0.021
4,0.166,0.01,0.011,0.012,0.01,0.017,0.019,0.015,0.01,0.032
3.5,0.107,0.012,0.012,0.01,0.01,0.019,0.018,0.015,0.011,0.032
3,0.377,0.015,0.01,0.012,0.011,0.015,0.018,0.014,0.01,0.027
