,7,8,8.5,9,10,10.5,11,12,20,100
500,0.279,0.238,0.363,0.394,0.751,0.785,0.782,0.791,0.97,0.979
20,0.219,0.242,0.37,0.402,0.759,0.81,0.801,0.786,0.977,0.962
10,0.219,0.249,0.377,0.413,0.767,0.794,0.792,0.784,0.972,0.981
8,0.299,0.249,0.365,0.396,0.755,0.799,0.788,0.785,0.952,0.958
6,0.231,0.244,0.35,0.397,0.692,0.71,0.717,0.709,0.828,0.81
5,0.394,0.245,0.3,0.325,0.519,0.532,0.525,0.529,0.592,0.594
4,0.232,0.263,0.237,0.268,0.361,0.341,0.356,0.357,0.406,0.513
3.5,0.229,0.232,0.198,0.175,0.255,0.305,0.267,0.281,0.334,0.395
3,0.924,0.277,0.166,0.207,0.288,0.242,0.256,0.27,0.338,0.393
